Unnamed: 0,agency,first_char,font_bold,font_italic,font_name,font_size,includes_time,indent_bucket_0,indent_bucket_1,indent_bucket_2,indent_bucket_3,indent_bucket_4,indent_bucket_5,left_inset,line_id,meeting_date,starts_with_enum_letter,starts_with_number,starts_with_roman_numeral,starts_with_subnumber,text,uppercase,line_class
0,cupertino_usd, ,0,0,Arial,25.236,0,0,0,0,0,0,1,306.0,cupertino_usd_01-22-2013_0,01-22-2013,0,0,0,0,,0,item_text
1,cupertino_usd, ,0,0,Arial,25.236,0,0,0,0,0,0,1,306.0,cupertino_usd_01-22-2013_1,01-22-2013,0,0,0,0,,0,item_text
2,cupertino_usd, ,0,0,Arial,25.236,0,0,0,0,0,0,1,306.0,cupertino_usd_01-22-2013_2,01-22-2013,0,0,0,0,,0,item_text
3,cupertino_usd, ,0,0,Arial,15.972,0,0,0,0,0,0,1,306.0,cupertino_usd_01-22-2013_3,01-22-2013,0,0,0,0,,0,item_text
4,cupertino_usd, ,0,0,Arial,15.972,0,0,0,0,0,0,1,306.0,cupertino_usd_01-22-2013_4,01-22-2013,0,0,0,0,,0,item_text
5,cupertino_usd,C,1,0,Arial-Bold,25.092,0,0,0,0,0,0,1,136.0,cupertino_usd_01-22-2013_5,01-22-2013,0,0,0,0,CUPERTINO UNION SCHOOL DISTRICT,1,other_text
6,cupertino_usd,B,1,0,Arial-Bold,25.092,0,0,0,0,0,0,1,160.0,cupertino_usd_01-22-2013_6,01-22-2013,0,0,0,0,BOARD OF EDUCATION AGENDA,1,other_text
7,cupertino_usd, ,0,0,Arial,15.972,0,1,0,0,0,0,0,72.0,cupertino_usd_01-22-2013_7,01-22-2013,0,0,0,0,,0,other_text
8,cupertino_usd,T,0,0,Arial,15.972,0,0,0,0,0,0,1,233.0,cupertino_usd_01-22-2013_8,01-22-2013,0,0,0,0,"Tuesday, January 22, 2013",0,item_text
9,cupertino_usd, ,0,0,Arial,15.972,0,0,0,0,0,0,1,306.0,cupertino_usd_01-22-2013_9,01-22-2013,0,0,0,0,,0,item_text
10,cupertino_usd, ,0,0,Arial,15.972,0,0,0,0,0,0,1,306.0,cupertino_usd_01-22-2013_10,01-22-2013,0,0,0,0,,0,item_text
11,cupertino_usd, ,0,0,Arial,15.972,0,1,0,0,0,0,0,72.0,cupertino_usd_01-22-2013_11,01-22-2013,0,0,0,0,,0,other_text
12,cupertino_usd, ,0,0,Arial,15.972,0,1,0,0,0,0,0,72.0,cupertino_usd_01-22-2013_12,01-22-2013,0,0,0,0,,0,other_text
13,cupertino_usd,T,0,0,Arial,13.097,0,0,0,0,0,1,0,98.0,cupertino_usd_01-22-2013_13,01-22-2013,0,0,0,0,The mission of the Cupertino Union School District is to provide a child-centered environment,0,item_text
14,cupertino_usd, ,0,0,Arial,15.972,0,0,0,0,0,1,0,98.0,cupertino_usd_01-22-2013_14,01-22-2013,0,0,0,0,"that cultivates character, fosters academic excellence, and embraces diversity. District",0,item_text
15,cupertino_usd,f,0,0,Arial,13.097,1,0,0,0,0,1,0,98.0,cupertino_usd_01-22-2013_15,01-22-2013,0,0,0,0,"families, community, and staff join as partners to develop creative, exemplary learners with",0,item_text
16,cupertino_usd,t,0,0,Arial,13.097,1,0,0,0,0,1,0,98.0,cupertino_usd_01-22-2013_16,01-22-2013,0,0,0,0,the skills and enthusiasm to contribute to a constantly changing global society.,0,item_text
17,cupertino_usd, ,0,0,Arial,15.972,0,1,0,0,0,0,0,72.0,cupertino_usd_01-22-2013_17,01-22-2013,0,0,0,0,,0,other_text
18,cupertino_usd, ,0,0,Arial,15.972,0,1,0,0,0,0,0,72.0,cupertino_usd_01-22-2013_18,01-22-2013,0,0,0,0,,0,other_text
19,cupertino_usd, ,0,0,Arial,15.972,0,1,0,0,0,0,0,72.0,cupertino_usd_01-22-2013_19,01-22-2013,0,0,0,0,,0,other_text
20,cupertino_usd, ,0,0,Arial,15.972,0,1,0,0,0,0,0,72.0,cupertino_usd_01-22-2013_20,01-22-2013,0,0,0,0,,0,other_text
21,cupertino_usd,B,1,0,Arial-Bold,16.728,0,0,0,0,0,0,1,251.0,cupertino_usd_01-22-2013_21,01-22-2013,0,0,0,0,Board of Education,0,other_text
22,cupertino_usd, ,0,0,Arial,15.972,0,1,0,0,0,0,0,72.0,cupertino_usd_01-22-2013_22,01-22-2013,0,0,0,0,,0,other_text
23,cupertino_usd,A,0,0,Arial,15.972,0,0,0,0,0,0,1,271.0,cupertino_usd_01-22-2013_23,01-22-2013,0,0,0,0,Anjali Kausar,0,item_text
24,cupertino_usd,B,0,0,Arial,15.972,0,0,0,0,0,0,1,282.0,cupertino_usd_01-22-2013_24,01-22-2013,0,0,0,0,Ben Liao,0,item_text
25,cupertino_usd,J,0,0,Arial,15.972,0,0,0,0,0,0,1,261.0,cupertino_usd_01-22-2013_25,01-22-2013,0,0,0,0,Josephine Lucey,0,item_text
26,cupertino_usd,G,0,0,Arial,15.972,0,0,0,0,0,0,1,272.0,cupertino_usd_01-22-2013_26,01-22-2013,0,0,0,0,Gary McCue,0,item_text
27,cupertino_usd,P,0,0,Arial,15.972,0,0,0,0,0,0,1,272.0,cupertino_usd_01-22-2013_27,01-22-2013,0,0,0,0,Phyllis Vogel,0,item_text
28,cupertino_usd, ,0,0,Arial,15.972,0,0,0,0,0,0,1,306.0,cupertino_usd_01-22-2013_28,01-22-2013,0,0,0,0,,0,item_text
29,cupertino_usd, ,0,0,Arial,15.972,0,0,0,0,0,0,1,306.0,cupertino_usd_01-22-2013_29,01-22-2013,0,0,0,0,,0,item_text
30,cupertino_usd, ,0,0,Arial,15.972,0,0,0,0,0,0,1,306.0,cupertino_usd_01-22-2013_30,01-22-2013,0,0,0,0,,0,item_text
31,cupertino_usd,S,1,0,Arial-Bold,16.728,0,0,0,0,0,0,1,262.0,cupertino_usd_01-22-2013_31,01-22-2013,0,0,0,0,Superintendent,0,other_text
32,cupertino_usd, ,0,0,Arial,15.972,0,0,0,0,0,0,1,306.0,cupertino_usd_01-22-2013_32,01-22-2013,0,0,0,0,,0,item_text
33,cupertino_usd,W,0,0,Arial,15.972,0,0,0,0,0,0,1,255.0,cupertino_usd_01-22-2013_33,01-22-2013,0,0,0,0,Wendy Gudalewicz,0,item_text
34,cupertino_usd, ,0,0,Arial,15.972,0,0,0,0,0,0,1,306.0,cupertino_usd_01-22-2013_34,01-22-2013,0,0,0,0,,0,item_text
35,cupertino_usd, ,0,0,Arial,15.972,0,0,0,0,0,0,1,306.0,cupertino_usd_01-22-2013_35,01-22-2013,0,0,0,0,,0,item_text
36,cupertino_usd, ,0,0,Arial,15.972,0,0,0,0,0,0,1,306.0,cupertino_usd_01-22-2013_36,01-22-2013,0,0,0,0,,0,item_text
37,cupertino_usd, ,0,0,Arial,15.972,0,0,0,0,0,0,1,306.0,cupertino_usd_01-22-2013_37,01-22-2013,0,0,0,0,,0,item_text
38,cupertino_usd, ,0,0,Arial,15.972,0,0,0,0,0,0,1,306.0,cupertino_usd_01-22-2013_38,01-22-2013,0,0,0,0,,0,item_text
39,cupertino_usd, ,0,0,Arial,15.972,0,0,0,0,0,0,1,306.0,cupertino_usd_01-22-2013_39,01-22-2013,0,0,0,0,,0,item_text
40,cupertino_usd, ,0,0,Arial,15.972,0,0,0,0,0,0,1,306.0,cupertino_usd_01-22-2013_40,01-22-2013,0,0,0,0,,0,item_text
41,cupertino_usd, ,0,0,Arial,15.972,0,0,0,0,0,0,1,306.0,cupertino_usd_01-22-2013_41,01-22-2013,0,0,0,0,,0,item_text
42,cupertino_usd, ,0,0,Arial,15.972,0,0,0,0,0,0,1,306.0,cupertino_usd_01-22-2013_42,01-22-2013,0,0,0,0,,0,item_text
43,cupertino_usd, ,0,0,Arial,15.972,0,0,0,0,0,0,1,306.0,cupertino_usd_01-22-2013_43,01-22-2013,0,0,0,0,,0,item_text
44,cupertino_usd, ,0,0,Arial,15.972,0,0,0,0,0,0,1,306.0,cupertino_usd_01-22-2013_44,01-22-2013,0,0,0,0,,0,item_text
45,cupertino_usd, ,0,0,Arial,15.972,0,1,0,0,0,0,0,72.0,cupertino_usd_01-22-2013_45,01-22-2013,0,0,0,0,,0,other_text
46,cupertino_usd, ,0,0,Arial,15.972,0,0,0,0,0,0,1,335.0,cupertino_usd_01-22-2013_0,01-22-2013,0,0,0,0,,0,item_text
47,cupertino_usd,w,0,0,Arial,10.542,0,0,0,0,0,0,1,277.0,cupertino_usd_01-22-2013_1,01-22-2013,0,0,0,0,www.cusdk8.org,0,item_text
48,cupertino_usd, ,0,0,Arial,14.375,0,1,0,0,0,0,0,72.0,cupertino_usd_01-22-2013_2,01-22-2013,0,0,0,0,,0,other_text
